                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9669,                 5.0568,                 4.1374,                0.00102,                0.38385,                0.01885,                0.00328,                 2.5385,                 5.2677,                 4.1225,             0.00014323,             0.00014323,             0.00014323
                      2,                 2.8304,                 4.2089,                 3.7819,                0.07874,                0.38833,                0.06013,                0.01108,                   2.39,                 6.2464,                 3.7654,              0.0002811,              0.0002811,              0.0002811
                      3,                 2.6166,                 3.4054,                  3.341,                0.42258,                0.32284,                0.20434,                0.09434,                 2.0325,                 4.0206,                  2.983,             0.00041179,             0.00041179,             0.00041179
                      4,                 2.2575,                 2.9987,                 2.9364,                0.46856,                0.55461,                0.37451,                0.18472,                 1.7342,                 2.9696,                 2.5668,              0.0004027,              0.0004027,              0.0004027
                      5,                 1.9368,                 2.6812,                 2.6212,                0.27865,                0.71277,                0.46577,                0.24427,                 1.5307,                 3.0514,                 2.4227,             0.00039193,             0.00039193,             0.00039193
                      6,                 1.7326,                 2.4576,                 2.4065,                0.34392,                0.75513,                0.51593,                 0.2761,                 1.4596,                 2.7174,                  2.355,             0.00038117,             0.00038117,             0.00038117
                      7,                 1.6352,                 2.2784,                 2.2556,                0.46759,                0.84864,                0.56909,                0.28647,                 1.3589,                 2.3666,                 2.0692,              0.0003704,              0.0003704,              0.0003704
                      8,                  1.504,                  2.139,                 2.1124,                0.50441,                0.70552,                 0.6086,                0.39644,                  1.373,                 2.3497,                 2.1986,             0.00035964,             0.00035964,             0.00035964
                      9,                 1.4505,                 2.0494,                 2.0518,                0.59084,                0.83436,                0.71269,                0.41837,                 1.2293,                 1.9925,                 1.9094,             0.00034887,             0.00034887,             0.00034887
                     10,                 1.3674,                 1.9356,                  1.957,                0.57866,                0.79178,                0.67894,                0.47959,                 1.0972,                  1.928,                 1.7912,              0.0003381,              0.0003381,              0.0003381
                     11,                 1.3135,                 1.8578,                 1.9116,                0.73472,                0.73873,                0.75669,                0.53061,                 1.0602,                 1.8043,                 1.7288,             0.00032734,             0.00032734,             0.00032734
                     12,                 1.2488,                 1.7386,                 1.8325,                0.65934,                0.81378,                0.76908,                0.57804,                0.95377,                 1.6064,                 1.6217,             0.00031657,             0.00031657,             0.00031657
                     13,                 1.2296,                 1.6816,                 1.8138,                 0.7339,                 0.7725,                0.76529,                 0.6007,                0.90695,                 1.5495,                 1.5606,              0.0003058,              0.0003058,              0.0003058
                     14,                 1.1463,                 1.5952,                 1.7194,                0.68399,                0.78323,                0.77948,                0.63445,                 0.8725,                 1.4502,                 1.4969,             0.00029504,             0.00029504,             0.00029504
                     15,                  1.125,                 1.5474,                 1.6957,                 0.7523,                0.79555,                0.82277,                0.64462,                0.97739,                 1.4632,                 1.6647,             0.00028427,             0.00028427,             0.00028427
                     16,                 1.1157,                 1.5064,                 1.6727,                0.73335,                0.82488,                 0.8316,                   0.66,                0.97604,                 1.3975,                 1.5621,             0.00027351,             0.00027351,             0.00027351
                     17,                 1.1035,                 1.4744,                 1.6499,                 0.7047,                0.82418,                0.82354,                0.66287,                0.84434,                 1.3116,                 1.4622,             0.00026274,             0.00026274,             0.00026274
                     18,                 1.0491,                 1.4186,                  1.612,                0.78083,                0.81018,                0.86437,                0.73195,                0.80523,                 1.2298,                 1.3841,             0.00025197,             0.00025197,             0.00025197
                     19,                 1.0453,                 1.3732,                 1.6032,                0.80675,                0.85595,                0.88946,                0.74274,                0.76071,                 1.1449,                 1.3858,             0.00024121,             0.00024121,             0.00024121
                     20,                 1.0077,                  1.319,                 1.5642,                0.83835,                0.82449,                0.90035,                0.75514,                0.76398,                 1.0966,                 1.3429,             0.00023044,             0.00023044,             0.00023044
                     21,                 1.0024,                 1.2904,                 1.5684,                0.83139,                0.82358,                0.89219,                0.73876,                0.76751,                 1.1219,                 1.3635,             0.00021968,             0.00021968,             0.00021968
                     22,                 0.9707,                 1.2497,                 1.5432,                 0.8497,                0.86881,                0.93307,                0.78414,                0.74019,                 1.0177,                 1.3327,             0.00020891,             0.00020891,             0.00020891
                     23,                0.95169,                 1.2223,                 1.5168,                0.81095,                0.89499,                0.93672,                0.79108,                0.72253,                  1.009,                 1.3221,             0.00019814,             0.00019814,             0.00019814
                     24,                0.96632,                 1.1703,                 1.5178,                0.88812,                0.86671,                0.94293,                0.78218,                0.76882,                0.92372,                 1.3259,             0.00018738,             0.00018738,             0.00018738
                     25,                0.92718,                 1.1368,                  1.482,                0.91408,                0.90055,                0.95842,                0.80041,                0.72713,                0.86978,                 1.2787,             0.00017661,             0.00017661,             0.00017661
                     26,                0.92553,                 1.1147,                 1.4674,                0.90333,                0.89969,                 0.9574,                0.80296,                0.72923,                0.86906,                 1.2983,             0.00016584,             0.00016584,             0.00016584
                     27,                0.91298,                 1.1196,                 1.4614,                0.87304,                 0.8956,                0.94906,                0.80198,                0.70413,                0.85664,                 1.2706,             0.00015508,             0.00015508,             0.00015508
                     28,                0.89172,                 1.0653,                 1.4531,                0.92732,                0.91809,                0.96562,                0.82854,                0.69033,                0.81486,                 1.2559,             0.00014431,             0.00014431,             0.00014431
                     29,                0.88837,                 1.0585,                 1.4429,                0.89063,                 0.9087,                0.95425,                 0.8145,                0.68109,                0.81415,                 1.2551,             0.00013355,             0.00013355,             0.00013355
                     30,                0.86186,                 1.0362,                 1.4306,                0.92372,                0.92392,                0.97062,                0.83852,                0.64528,                0.73883,                  1.217,             0.00012278,             0.00012278,             0.00012278
                     31,                0.68639,                0.93386,                 1.2662,                0.90557,                0.90662,                0.96645,                0.83947,                0.67202,                0.77935,                 1.2119,             0.00011201,             0.00011201,             0.00011201
                     32,                0.66551,                 0.8513,                 1.2482,                0.92153,                0.90237,                0.97174,                0.82619,                0.65908,                0.74913,                 1.1992,             0.00010125,             0.00010125,             0.00010125
                     33,                0.64524,                0.79107,                 1.2324,                0.90898,                 0.9303,                 0.9733,                0.82777,                 0.6658,                0.71518,                 1.2049,              9.048e-05,              9.048e-05,              9.048e-05
                     34,                0.63347,                0.76352,                 1.2239,                0.95235,                0.94422,                0.98277,                 0.8531,                0.62019,                0.64964,                 1.1627,             7.9714e-05,             7.9714e-05,             7.9714e-05
                     35,                0.63114,                0.73304,                  1.212,                0.95641,                0.94275,                0.98277,                0.85625,                0.60746,                0.64316,                 1.1515,             6.8948e-05,             6.8948e-05,             6.8948e-05
                     36,                0.60899,                0.72467,                 1.1938,                0.94476,                0.94217,                 0.9791,                0.85815,                0.60219,                 0.6436,                 1.1465,             5.8181e-05,             5.8181e-05,             5.8181e-05
                     37,                0.59968,                0.69395,                 1.1829,                0.94158,                0.94984,                0.98381,                0.86224,                0.59308,                0.62056,                 1.1344,             4.7415e-05,             4.7415e-05,             4.7415e-05
                     38,                0.59878,                0.67459,                 1.1917,                0.93961,                0.95681,                0.98622,                0.86765,                0.57674,                0.60758,                  1.124,             3.6649e-05,             3.6649e-05,             3.6649e-05
                     39,                0.58415,                0.66572,                 1.1751,                0.95482,                0.95232,                0.98519,                0.86533,                0.57247,                0.59641,                 1.1198,             2.5883e-05,             2.5883e-05,             2.5883e-05
                     40,                0.58603,                0.66249,                 1.1751,                0.96065,                0.95787,                0.98627,                0.87199,                0.56138,                0.57705,                  1.106,             1.5116e-05,             1.5116e-05,             1.5116e-05
