               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082844,            0.023411,            0.062489,             0.57319,              0.3546,             0.33468,             0.12433,            0.047169,            0.011666,            0.039126,            0.070455,           0.0032828,           0.0032828
                   1,            0.056566,            0.019817,            0.036858,              0.3732,             0.72607,             0.50115,             0.28695,            0.040605,           0.0080081,            0.028052,            0.040389,           0.0065507,           0.0065507
                   2,            0.056859,            0.016186,            0.030822,             0.39823,             0.64228,             0.50956,             0.29895,            0.044025,           0.0067365,            0.022253,            0.010258,           0.0097525,           0.0097525
                   3,            0.050768,            0.014369,            0.024699,             0.39566,             0.77235,             0.52686,             0.29022,            0.039453,           0.0061687,            0.017753,            0.009703,            0.009703,            0.009703
                   4,            0.044244,            0.012762,            0.021541,             0.52717,             0.81457,             0.65995,             0.42022,            0.032882,           0.0056023,            0.012451,            0.009703,            0.009703,            0.009703
                   5,            0.040118,            0.011863,            0.017123,             0.60278,             0.87245,              0.8492,             0.48505,            0.033395,           0.0053169,           0.0090535,            0.009604,            0.009604,            0.009604
                   6,            0.037302,            0.011082,             0.01446,             0.90828,             0.87848,             0.96047,             0.65417,            0.024547,           0.0045999,           0.0070668,            0.009505,            0.009505,            0.009505
                   7,            0.034972,            0.010667,            0.013082,              0.8898,             0.95549,             0.96845,             0.62617,            0.027437,           0.0048513,           0.0062657,            0.009406,            0.009406,            0.009406
                   8,            0.033605,              0.0107,            0.013034,             0.96053,             0.96387,             0.98594,             0.67846,            0.022654,           0.0044947,            0.005649,            0.009307,            0.009307,            0.009307
                   9,            0.031867,            0.010315,            0.011689,             0.95499,             0.94709,             0.98765,             0.73853,            0.020629,           0.0044154,           0.0068706,            0.009208,            0.009208,            0.009208
                  10,            0.030582,            0.010323,            0.010369,             0.98334,             0.97493,             0.98936,             0.72658,            0.020486,            0.004527,           0.0050752,            0.009109,            0.009109,            0.009109
                  11,            0.029936,           0.0099631,            0.011252,             0.97205,             0.97177,             0.99191,             0.76237,            0.018176,           0.0041155,           0.0059602,             0.00901,             0.00901,             0.00901
                  12,            0.028621,            0.009567,            0.010318,              0.9788,             0.97757,             0.99309,             0.76367,            0.021543,           0.0042378,           0.0037793,            0.008911,            0.008911,            0.008911
                  13,            0.028288,           0.0095904,            0.010972,             0.97765,              0.9814,             0.99363,             0.72959,            0.022058,           0.0041196,           0.0036792,            0.008812,            0.008812,            0.008812
                  14,            0.027636,           0.0094834,           0.0096826,             0.98818,             0.98716,             0.99408,              0.8184,            0.017051,           0.0042584,           0.0035119,            0.008713,            0.008713,            0.008713
                  15,             0.02714,           0.0095346,           0.0097614,             0.99172,             0.98616,             0.99466,             0.75956,            0.020526,           0.0041019,           0.0033658,            0.008614,            0.008614,            0.008614
                  16,            0.027157,           0.0095202,           0.0094453,             0.97926,             0.98148,             0.99406,             0.79763,            0.016507,           0.0041076,           0.0034226,            0.008515,            0.008515,            0.008515
                  17,            0.026751,           0.0096025,           0.0087984,             0.98572,             0.99111,              0.9946,             0.77384,            0.016953,           0.0038409,           0.0031462,            0.008416,            0.008416,            0.008416
                  18,            0.025097,            0.009185,           0.0095195,             0.97181,             0.98035,              0.9933,             0.83723,            0.016853,           0.0037906,           0.0038423,            0.008317,            0.008317,            0.008317
                  19,            0.024829,           0.0092603,           0.0090887,             0.98319,             0.98487,             0.99388,             0.80435,            0.016158,           0.0039274,           0.0034633,            0.008218,            0.008218,            0.008218
                  20,            0.025593,           0.0094217,           0.0091585,              0.9937,             0.98559,             0.99466,             0.79707,            0.016137,           0.0036076,           0.0032378,            0.008119,            0.008119,            0.008119
                  21,            0.024625,           0.0092282,           0.0076686,              0.9876,             0.99135,              0.9935,             0.83596,            0.013972,           0.0036334,           0.0032917,             0.00802,             0.00802,             0.00802
                  22,            0.024128,           0.0089702,           0.0080232,             0.99333,             0.99574,              0.9948,             0.81181,            0.015365,           0.0036676,           0.0025522,            0.007921,            0.007921,            0.007921
                  23,             0.02326,           0.0085746,           0.0072222,              0.9899,             0.99811,             0.99459,             0.83591,            0.014778,           0.0037164,           0.0028811,            0.007822,            0.007822,            0.007822
                  24,            0.024202,           0.0090718,           0.0078873,             0.98701,             0.99274,             0.99461,             0.78226,            0.015043,           0.0036201,           0.0031259,            0.007723,            0.007723,            0.007723
                  25,            0.023346,           0.0086846,           0.0079889,             0.99026,             0.98503,             0.99448,                0.86,            0.014586,           0.0035245,           0.0030024,            0.007624,            0.007624,            0.007624
                  26,            0.022878,           0.0088383,            0.007694,             0.99269,             0.99152,             0.99445,             0.86108,            0.013314,           0.0035001,           0.0026604,            0.007525,            0.007525,            0.007525
                  27,            0.022448,           0.0087975,           0.0073967,             0.99401,             0.99621,             0.99477,             0.85311,            0.013698,           0.0033968,           0.0023333,            0.007426,            0.007426,            0.007426
                  28,            0.022831,           0.0085297,           0.0069131,             0.98814,             0.99671,              0.9948,             0.80413,            0.015036,           0.0035192,            0.002635,            0.007327,            0.007327,            0.007327
                  29,            0.022084,           0.0086156,           0.0066298,             0.98793,             0.99054,             0.99447,             0.83316,            0.014529,           0.0035037,           0.0024828,            0.007228,            0.007228,            0.007228
                  30,            0.021831,           0.0081353,           0.0065323,             0.98663,             0.98539,             0.99442,             0.83397,            0.013877,           0.0034031,           0.0027663,            0.007129,            0.007129,            0.007129
                  31,            0.021258,           0.0082272,           0.0069027,             0.99163,             0.99583,             0.99486,             0.82313,             0.01459,           0.0037694,           0.0025547,             0.00703,             0.00703,             0.00703
                  32,            0.021503,           0.0085233,           0.0061786,             0.99499,             0.99769,             0.99498,             0.86202,            0.011759,            0.003298,           0.0021135,            0.006931,            0.006931,            0.006931
                  33,            0.020927,           0.0084961,            0.007583,             0.98081,              0.9777,             0.98994,             0.85392,            0.012431,           0.0035977,           0.0029513,            0.006832,            0.006832,            0.006832
                  34,            0.020537,           0.0081281,           0.0067448,             0.99543,             0.99736,             0.99494,             0.87008,            0.012032,           0.0032242,           0.0018639,            0.006733,            0.006733,            0.006733
                  35,            0.020972,           0.0081578,           0.0060859,             0.99541,             0.99707,             0.99494,             0.84381,            0.012857,           0.0032679,           0.0018212,            0.006634,            0.006634,            0.006634
                  36,            0.020976,            0.008208,           0.0062371,             0.99688,             0.99843,             0.99499,             0.84795,             0.01278,           0.0033396,           0.0017231,            0.006535,            0.006535,            0.006535
                  37,            0.020101,            0.008001,           0.0074189,             0.99543,             0.99883,             0.99491,             0.83418,            0.013726,           0.0034976,           0.0018566,            0.006436,            0.006436,            0.006436
                  38,            0.019987,           0.0080116,           0.0065502,             0.99883,             0.99693,               0.995,              0.8533,            0.011776,           0.0032808,           0.0017565,            0.006337,            0.006337,            0.006337
                  39,            0.019656,           0.0079879,           0.0057745,             0.99634,             0.99704,             0.99495,             0.86209,             0.01089,           0.0032913,           0.0019986,            0.006238,            0.006238,            0.006238
                  40,            0.019718,            0.008027,           0.0056679,             0.99805,             0.99958,               0.995,             0.86393,            0.011636,           0.0034733,           0.0017917,            0.006139,            0.006139,            0.006139
                  41,            0.019319,            0.007933,           0.0064085,             0.99451,             0.99527,             0.99452,             0.85687,            0.011953,           0.0033152,           0.0018767,             0.00604,             0.00604,             0.00604
                  42,            0.019041,           0.0077548,           0.0056076,             0.99667,             0.99833,             0.99499,             0.89407,            0.010445,           0.0030512,           0.0015482,            0.005941,            0.005941,            0.005941
                  43,            0.018601,           0.0077433,           0.0057677,             0.99778,                   1,               0.995,             0.87272,             0.01083,           0.0030878,           0.0014853,            0.005842,            0.005842,            0.005842
                  44,            0.019032,           0.0079966,           0.0053954,             0.99753,             0.99906,             0.99476,             0.88785,            0.010465,           0.0029821,           0.0016006,            0.005743,            0.005743,            0.005743
                  45,            0.018839,           0.0075553,           0.0050033,             0.99876,                   1,               0.995,             0.88561,            0.010775,           0.0030324,           0.0014965,            0.005644,            0.005644,            0.005644
                  46,            0.018245,            0.007684,           0.0054837,             0.99788,             0.99838,               0.995,             0.88156,            0.010175,            0.003029,            0.001689,            0.005545,            0.005545,            0.005545
                  47,            0.018472,           0.0076722,           0.0060271,             0.99888,             0.99995,               0.995,             0.89017,           0.0098949,           0.0030011,           0.0013923,            0.005446,            0.005446,            0.005446
                  48,             0.01802,           0.0074735,           0.0050381,             0.99559,             0.99889,               0.995,             0.87477,            0.010298,           0.0030554,           0.0015463,            0.005347,            0.005347,            0.005347
                  49,            0.017741,           0.0074152,           0.0047977,             0.99848,             0.99976,               0.995,             0.88454,            0.010367,            0.003133,           0.0014026,            0.005248,            0.005248,            0.005248
                  50,            0.017984,           0.0075192,            0.004742,              0.9995,                   1,               0.995,             0.89007,           0.0098955,           0.0028999,            0.001338,            0.005149,            0.005149,            0.005149
                  51,            0.017135,           0.0073418,           0.0046017,             0.99797,             0.99896,               0.995,             0.89438,             0.01005,           0.0029857,           0.0014298,             0.00505,             0.00505,             0.00505
                  52,            0.016942,           0.0073015,           0.0046051,             0.99902,                   1,               0.995,              0.8916,            0.010073,           0.0028422,           0.0012814,            0.004951,            0.004951,            0.004951
                  53,            0.017338,           0.0075071,           0.0048299,             0.99909,             0.99716,               0.995,             0.89855,           0.0097044,           0.0027535,           0.0013161,            0.004852,            0.004852,            0.004852
                  54,            0.016649,           0.0070512,           0.0046386,             0.99843,             0.99784,             0.99492,             0.89728,           0.0096873,           0.0029183,           0.0013736,            0.004753,            0.004753,            0.004753
                  55,            0.016814,           0.0073699,           0.0046042,             0.99801,             0.99833,             0.99496,             0.89597,            0.010181,           0.0028019,           0.0014809,            0.004654,            0.004654,            0.004654
                  56,            0.016274,           0.0071878,           0.0047791,             0.99846,             0.99993,             0.99498,             0.90695,           0.0091032,           0.0027579,           0.0011891,            0.004555,            0.004555,            0.004555
                  57,            0.016574,           0.0071217,           0.0049779,             0.99956,             0.99999,               0.995,             0.90653,            0.009044,           0.0028134,           0.0011205,            0.004456,            0.004456,            0.004456
                  58,            0.016486,           0.0073043,           0.0046975,             0.99874,             0.99994,               0.995,             0.89652,           0.0089553,           0.0028978,           0.0011411,            0.004357,            0.004357,            0.004357
                  59,            0.015675,           0.0068625,           0.0053732,             0.99943,             0.99997,               0.995,             0.90516,           0.0090487,           0.0028804,            0.001236,            0.004258,            0.004258,            0.004258
                  60,            0.016037,           0.0071694,           0.0048371,             0.99966,             0.99967,               0.995,             0.91456,           0.0087746,           0.0027916,            0.001142,            0.004159,            0.004159,            0.004159
                  61,            0.015971,           0.0069895,           0.0044484,             0.99925,                   1,               0.995,             0.90259,           0.0088158,           0.0028382,           0.0010673,             0.00406,             0.00406,             0.00406
                  62,             0.01562,           0.0071023,           0.0042732,             0.99917,             0.99969,               0.995,             0.91032,           0.0085079,           0.0027586,           0.0010981,            0.003961,            0.003961,            0.003961
                  63,             0.01571,           0.0069505,           0.0042641,             0.99871,              0.9992,               0.995,             0.90315,           0.0084844,            0.002993,           0.0011104,            0.003862,            0.003862,            0.003862
                  64,            0.015218,           0.0068363,           0.0045066,             0.99926,                   1,               0.995,             0.91022,           0.0081898,           0.0027578,           0.0010622,            0.003763,            0.003763,            0.003763
                  65,            0.015681,           0.0071922,           0.0045555,             0.99973,                   1,               0.995,             0.90686,           0.0083422,           0.0027103,          0.00098516,            0.003664,            0.003664,            0.003664
                  66,            0.015225,           0.0068653,           0.0043442,             0.99952,                   1,               0.995,              0.9081,           0.0081865,           0.0026686,           0.0010263,            0.003565,            0.003565,            0.003565
                  67,            0.014726,           0.0069084,           0.0040862,             0.99917,                   1,               0.995,             0.91877,           0.0078053,           0.0025931,          0.00093774,            0.003466,            0.003466,            0.003466
                  68,            0.014699,           0.0066493,           0.0035096,             0.99962,                   1,               0.995,             0.92117,           0.0078439,           0.0025483,          0.00090035,            0.003367,            0.003367,            0.003367
                  69,            0.014334,           0.0066581,           0.0037968,             0.99953,                   1,               0.995,             0.92252,           0.0077838,           0.0026462,          0.00091598,            0.003268,            0.003268,            0.003268
                  70,            0.014251,           0.0066294,           0.0041986,             0.99926,                   1,               0.995,             0.91727,           0.0079634,           0.0026557,          0.00094483,            0.003169,            0.003169,            0.003169
                  71,             0.01373,           0.0063718,           0.0033291,             0.99923,                   1,               0.995,             0.92284,           0.0076028,           0.0026602,           0.0009039,             0.00307,             0.00307,             0.00307
                  72,            0.014167,           0.0067477,           0.0029313,             0.99948,                   1,               0.995,             0.92065,           0.0076986,           0.0025238,          0.00086146,            0.002971,            0.002971,            0.002971
                  73,            0.013471,           0.0064093,           0.0032055,             0.99963,                   1,               0.995,             0.91469,           0.0079651,           0.0026236,           0.0008192,            0.002872,            0.002872,            0.002872
                  74,            0.014239,           0.0065016,           0.0029845,             0.99948,                   1,               0.995,             0.92207,            0.007907,           0.0026372,          0.00088368,            0.002773,            0.002773,            0.002773
                  75,            0.014081,           0.0066516,           0.0034124,             0.99948,                   1,               0.995,             0.91561,           0.0077041,           0.0026815,          0.00086847,            0.002674,            0.002674,            0.002674
                  76,            0.013244,           0.0065104,           0.0035145,             0.99944,                   1,               0.995,             0.92372,           0.0074929,           0.0024675,          0.00081722,            0.002575,            0.002575,            0.002575
                  77,            0.013286,            0.006577,           0.0032212,             0.99935,             0.99991,               0.995,             0.92012,           0.0074932,           0.0025598,          0.00073732,            0.002476,            0.002476,            0.002476
                  78,            0.013153,           0.0064101,           0.0033578,             0.99962,                   1,               0.995,             0.92311,            0.007546,           0.0025771,          0.00075241,            0.002377,            0.002377,            0.002377
                  79,            0.012877,           0.0061816,           0.0032194,             0.99948,                   1,               0.995,             0.92147,           0.0074911,           0.0025419,          0.00074289,            0.002278,            0.002278,            0.002278
                  80,              0.0127,           0.0063288,            0.003097,              0.9996,                   1,               0.995,             0.92698,           0.0073167,           0.0024818,          0.00070793,            0.002179,            0.002179,            0.002179
                  81,             0.01248,           0.0063511,           0.0032674,             0.99963,                   1,               0.995,             0.92968,           0.0069446,           0.0024022,          0.00073313,             0.00208,             0.00208,             0.00208
